SURVEY:  PS1MD
SNID:  PS0909006
IAUC:    UNKNOWN
RA:        333.9502660  deg
DECL:       1.1848310  deg
MWEBV:    0.0368 +- 0.003  MW E(B-V)
REDSHIFT_FINAL:  0.2840 +- 0.0010  (CMB)
SEARCH_PEAKMJD: 55083.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: PS0909006.0x1613.dougpv3.phot1
# CNTRD_FLUX_OFFSET: 0.0009

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 375
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 56628.3 g NULL  32.581 74.389 -8.782 2.479
OBS: 55014.6 r NULL  4.414 19.316 -6.612 4.752
OBS: 55029.6 r NULL  -15.795 11.221 nan -0.771
OBS: 55074.5 r NULL  252.058 33.085 -11.004 0.143
OBS: 55083.5 r NULL  217.291 16.533 -10.843 0.083
OBS: 55086.4 r NULL  209.320 10.008 -10.802 0.052
OBS: 55089.4 r NULL  158.190 11.128 -10.498 0.076
OBS: 55092.4 r NULL  159.263 19.298 -10.505 0.132
OBS: 55095.4 r NULL  124.530 12.526 -10.238 0.109
OBS: 55098.4 r NULL  98.837 11.326 -9.987 0.124
OBS: 55389.5 r NULL  11.270 7.709 -7.630 0.743
OBS: 55398.5 r NULL  31.585 31.512 -8.749 1.083
OBS: 55410.5 r NULL  -0.486 12.149 nan -27.119
OBS: 55413.4 r NULL  2.002 6.675 -5.754 3.620
OBS: 55416.5 r NULL  7.543 12.543 -7.194 1.805
OBS: 55422.5 r NULL  0.555 10.252 -4.362 20.037
OBS: 55428.5 r NULL  3.486 8.435 -6.356 2.627
OBS: 55437.5 r NULL  9.863 16.844 -7.485 1.854
OBS: 55440.5 r NULL  4.111 7.613 -6.535 2.011
OBS: 55443.5 r NULL  3.696 6.569 -6.419 1.930
OBS: 55446.5 r NULL  0.916 13.135 -4.904 15.574
OBS: 55449.4 r NULL  -3.340 8.187 nan -2.661
OBS: 55452.4 r NULL  11.679 7.845 -7.669 0.729
OBS: 55458.3 r NULL  -11.578 24.602 nan -2.307
OBS: 55467.4 r NULL  3.172 8.196 -6.253 2.805
OBS: 55473.3 r NULL  -13.523 8.318 nan -0.668
OBS: 55479.2 r NULL  -3.705 7.039 nan -2.063
OBS: 55482.3 r NULL  -23.374 10.261 nan -0.477
OBS: 55500.2 r NULL  -8.055 8.478 nan -1.143
OBS: 55503.3 r NULL  -8.145 10.578 nan -1.410
OBS: 55530.2 r NULL  -15.907 15.292 nan -1.044
OBS: 55536.2 r NULL  -5.432 7.592 nan -1.518
OBS: 55743.6 r NULL  10.223 10.770 -7.524 1.144
OBS: 55764.6 r NULL  25.951 13.387 -8.535 0.560
OBS: 55767.6 r NULL  -1.240 6.556 nan -5.738
OBS: 55770.5 r NULL  7.106 7.010 -7.129 1.071
OBS: 55773.6 r NULL  3.125 10.198 -6.237 3.543
OBS: 55782.4 r NULL  -18.926 18.027 nan -1.034
OBS: 55794.5 r NULL  6.381 11.644 -7.012 1.981
OBS: 55797.5 r NULL  -12.148 5.855 nan -0.523
OBS: 55800.3 r NULL  -9.849 21.472 nan -2.367
OBS: 55803.5 r NULL  5.418 11.986 -6.835 2.402
OBS: 55806.4 r NULL  9.192 11.714 -7.408 1.384
OBS: 55821.3 r NULL  -1.046 8.684 nan -9.015
OBS: 55824.3 r NULL  42.143 11.388 -9.062 0.293
OBS: 55829.3 r NULL  4.240 6.454 -6.568 1.653
OBS: 55833.3 r NULL  101.117 50.299 -10.012 0.540
OBS: 55836.2 r NULL  -11.190 12.935 nan -1.255
OBS: 55839.4 r NULL  20.568 24.809 -8.283 1.310
OBS: 55852.3 r NULL  -1.493 8.681 nan -6.312
OBS: 55855.2 r NULL  8.918 7.943 -7.376 0.967
OBS: 55858.3 r NULL  -2.300 6.547 nan -3.091
OBS: 55859.4 r NULL  -1.253 7.135 nan -6.181
OBS: 55863.3 r NULL  2.043 8.956 -5.776 4.759
OBS: 56147.5 r NULL  8.612 7.544 -7.338 0.951
OBS: 56150.5 r NULL  5.877 8.411 -6.923 1.554
OBS: 56154.5 r NULL  4.771 11.248 -6.696 2.560
OBS: 56161.4 r NULL  6.966 19.304 -7.107 3.009
OBS: 56164.4 r NULL  -11.098 13.109 nan -1.282
OBS: 56176.4 r NULL  -0.957 9.552 nan -10.843
OBS: 56206.2 r NULL  1.733 9.059 -5.597 5.674
OBS: 56209.2 r NULL  0.029 8.655 -1.167 320.707
OBS: 56213.3 r NULL  1.203 16.203 -5.200 14.626
OBS: 56217.3 r NULL  0.028 8.894 -1.133 340.038
OBS: 56220.3 r NULL  -8.684 13.037 nan -1.630
OBS: 56242.3 r NULL  -14.754 22.173 nan -1.632
OBS: 56285.2 r NULL  -10.171 14.608 nan -1.559
OBS: 56475.6 r NULL  -1.255 6.417 nan -5.553
OBS: 56479.5 r NULL  3.205 7.859 -6.264 2.663
OBS: 56486.6 r NULL  -1.137 6.176 nan -5.898
OBS: 56489.5 r NULL  -8.345 7.403 nan -0.963
OBS: 56501.4 r NULL  -0.361 8.250 nan -24.792
OBS: 56507.6 r NULL  1.187 7.088 -5.186 6.484
OBS: 56508.5 r NULL  -0.380 7.655 nan -21.856
OBS: 56512.6 r NULL  -10.369 8.661 nan -0.907
OBS: 56518.5 r NULL  3.545 7.529 -6.374 2.306
OBS: 56531.5 r NULL  1.887 12.166 -5.690 6.999
OBS: 56534.5 r NULL  -10.549 10.525 nan -1.083
OBS: 56538.3 r NULL  3.583 6.984 -6.386 2.116
OBS: 56545.3 r NULL  -5.213 8.851 nan -1.844
OBS: 56571.2 r NULL  -4.382 8.969 nan -2.222
OBS: 56574.3 r NULL  429.047 984.781 -11.581 2.492
OBS: 56590.3 r NULL  -16.176 6.299 nan -0.423
OBS: 56596.3 r NULL  19.045 8.141 -8.199 0.464
OBS: 56597.3 r NULL  4.918 9.078 -6.729 2.004
OBS: 56626.2 r NULL  26.982 39.104 -8.578 1.574
OBS: 54985.6 i NULL  -13.168 10.949 nan -0.903
OBS: 54986.6 i NULL  2.267 13.731 -5.888 6.577
OBS: 55012.5 i NULL  -0.191 8.921 nan -50.791
