#Created by Dan	Scolnic	based on average supercal corrections from http://arxiv.org/abs/1508.05361 with	data from http://arxiv.org/abs/1310.3824
#zHD has coherent flow corrections from Turnbull, Hudson et al.  z is the heliocentric redshift.

#To use this for cosmology, one should make a cut of abs(x1)<3, abs(c)<0.3, fitprob>0.01, pkmjderr<2.0, x1err<1.0, and some reasonable 3-4 sigma cut on Hubble Residual (mures) outliers.

NVAR: 40 
VARNAMES: CID CIDint IDSURVEY TYPE FIELD zHD zHDERR z zERR HOST_LOGMASS HOST_LOGMASS_ERR SNRMAX1 SNRMAX2 SNRMAX3 PKMJD PKMJDERR x1 x1ERR c cERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 NDOF FITCHI2 FITPROB RA DECL TGAPMAX MU MUERR MURES MUPULL sbar cbar ERRCODE 
SN: 2916 2916 1 120 82S 0.12303 0.00001 0.12420 0.00001 10.0410 8.00000e-03 31.0012 30.1371 21.2575 53643.848 0.165 -7.69421e-01 0.2349 6.31993e-02 3.35887e-02 19.7176 4.81904e-02 2.32781e-04 1.05647e-05 3.25916e-03 -1.64606e-06 -2.98149e-07 45 64.2556 3.11380e-02 -44.078308 0.569479 8.8153   38.7779  0.0711 -0.036 -0.511 -0.725  0.049 0 
SN: 2992 2992 1 120 82S 0.12608 0.00001 0.12660 0.00001 10.2310 5.70000e-02 36.1775 36.1772 26.4572 53641.156 0.202 -9.58860e-01 0.1426 9.90697e-02 2.76667e-02 19.7692 3.28537e-02 2.21983e-04 6.81975e-06 1.60998e-04 -1.77042e-07 -1.54089e-07 63 57.8849 0.6587 55.496922 -0.782694 12.2846   38.6918  0.0656 -0.167 -2.553 -0.829  0.035 0 
SN: 3080 3080 1 120 82N 0.17315 0.00001 0.17440 0.00001 10.9610 0.1040 38.7593 31.0024 19.3532 53647.637 0.147 0.1107 0.1931 -4.53528e-02 2.36789e-02 19.9733 3.01975e-02 1.83939e-04 5.18767e-06 5.66611e-04 -4.31260e-07 -8.88388e-08 64 43.5221 0.9767 16.932314 -1.039554 11.0694   39.4933  0.0635 -0.126 -1.990  0.308 -0.083 0 
SN: 3087 3087 1 120 82N 0.16431 0.00001 0.16551 0.00001 9.6640 8.70000e-02 32.8876 31.0018 20.4514 53648.895 0.144 0.5329 0.1937 7.86026e-03 2.41763e-02 19.9902 3.10298e-02 1.81107e-04 5.25062e-06 7.10938e-04 -4.60876e-07 -9.48123e-08 64 47.5766 0.9486 20.406660 -0.977301 8.6101   39.4043  0.0631 -0.090 -1.426  0.673 -0.020 0 
SN: 3317 3317 1 120 82N 0.15990 0.00001 0.16101 0.00001 10.0540 6.80000e-02 40.1974 32.8810 20.4534 53646.406 0.171 -5.17234e-01 0.1860 2.36577e-02 2.45449e-02 20.0806 3.08301e-02 1.66627e-04 4.79929e-06 2.27081e-04 -3.00517e-07 -8.54226e-08 69 64.2527 0.6393 26.962519 0.640531 11.2072   39.2988  0.0659 -0.130 -1.966 -0.327 -0.016 0 
SN: 3377 3377 1 120 82N 0.24448 0.00001 0.24510 0.00001 9.6660 0.1940 27.8076 22.1237 14.2315 53645.914 0.328 1.0349 0.3126 -8.51613e-02 3.52750e-02 20.5282 3.72962e-02 1.10342e-04 3.85621e-06 6.67559e-04 -5.61706e-07 -8.44890e-08 50 31.3113 0.9822 54.156059 1.079086 10.4503   40.3010  0.1055 -0.146 -1.385  1.270 -0.125 0 
SN: 3451 3451 1 120 82N 0.24835 0.00001 0.24984 0.00001 10.8390 0.1150 25.8180 20.0672 14.8265 53645.145 0.326 0.6962 0.3290 -5.76977e-02 3.74063e-02 20.6823 3.99531e-02 9.57340e-05 3.58846e-06 8.09168e-04 -5.88900e-07 -7.99337e-08 43 32.8394 0.8692 -25.930786 0.708050 8.0260   40.3226  0.1130 -0.172 -1.520  0.966 -0.104 0 
SN: 4046 4046 1 120 82N 0.27544 0.00001 0.27700 0.00001 9.3590 0.3020 14.8189 14.4162 8.8152 53645.840 0.508 0.7724 0.5249 -2.19109e-03 4.36780e-02 21.2436 4.81385e-02 5.70891e-05 2.58812e-06 1.44239e-03 -8.12888e-07 -5.44986e-08 59 43.4121 0.9360 -5.501770 0.642014 10.1832   40.7225  0.1510 -0.028 -0.183  0.846 -0.009 0 
SN: 4241 4241 1 120 82N 0.33051 0.00001 0.33200 0.00001 9.2610 0.2100 11.2349 9.0405 6.2147 53638.488 0.748 0.2717 0.6657 -5.92229e-02 5.65765e-02 21.6870 6.13095e-02 3.79493e-05 2.20459e-06 7.50992e-03 -9.33998e-07 -4.99617e-08 64 45.4092 0.9621 12.237581 -0.905835 9.7598   41.2725  0.1885  0.068  0.363  0.157 -0.046 0 
SN: 4679 4679 1 120 82N 0.33103 0.00001 0.33240 0.00001 9.2250 0.1710 8.9704 7.2042 5.3708 53654.336 0.657 0.9804 0.7412 8.92826e-02 6.05706e-02 21.8162 8.04264e-02 3.36926e-05 2.59056e-06 1.26453e-02 -1.51570e-06 -7.85559e-08 72 56.0353 0.9173 21.528246 0.676778 7.5287   41.0406  0.2000 -0.167 -0.833  1.354  0.059 0 
SN: 5103 5103 1 120 82N 0.16059 0.00001 0.16199 0.00001 9.0860 7.40000e-02 41.7435 32.8811 18.6863 53654.621 0.153 -2.27158e-01 0.1539 1.85717e-02 2.71648e-02 20.0889 3.19483e-02 1.65362e-04 4.93816e-06 7.88831e-04 -2.82951e-07 -1.04445e-07 60 47.3996 0.8811 -0.115631 0.737106 11.1911   39.3635  0.0647 -0.079 -1.227 -0.171 -0.012 0 
SN: 5533 5533 1 120 82N+82S 0.21887 0.00001 0.22028 0.00001 9.9590 8.00000e-02 20.8344 18.0530 16.9195 53667.508 0.345 -4.97542e-02 0.2845 1.96653e-02 2.76041e-02 20.8955 2.98846e-02 7.86665e-05 2.19535e-06 1.57912e-03 -2.53664e-07 -4.22878e-08 72 67.8616 0.6481 -31.330139 0.413354 6.5783   40.1915  0.0763  0.006  0.084 -0.050  0.020 0 
SN: 5549 5549 1 120 82N 0.11991 0.00001 0.12124 0.00001 8.7220 9.60000e-02 51.6870 49.3394 31.0007 53666.090 0.106 0.2534 9.83918e-02 7.69891e-03 2.15059e-02 19.3792 2.66423e-02 3.17916e-04 7.89767e-06 3.14054e-04 -1.96074e-07 -1.38077e-07 46 63.0056 4.84805e-02 3.250478 0.248144 11.5943   38.7548  0.0485 -0.003 -0.060  0.257  0.004 0 
SN: 5635 5635 1 120 82N 0.17839 0.00001 0.17979 0.00001 9.4830 6.20000e-02 18.3603 17.2014 12.1414 53662.293 0.324 7.13154e-02 0.4068 -3.13538e-02 3.64404e-02 20.6379 4.37033e-02 9.97311e-05 4.09629e-06 5.00922e-03 -9.71815e-07 -1.07139e-07 46 34.1758 0.9009 -26.817291 -0.035032 5.9465   40.1090  0.0968  0.416  4.299 -0.725  0.067 0 
SN: 5944 5944 1 120 82N+82S 0.04495 0.00001 0.04592 0.00001 10.8410 7.10000e-02 180.9535 155.1032 35.0187 53667.832 0.036 0.7257 4.16047e-02 -1.94829e-02 2.11904e-02 17.0479 2.42135e-02 2.72160e-03 6.13776e-05 -6.46980e-05 -8.03564e-08 -1.00769e-06 77 123.1248 6.61758e-04 29.199711 -0.213787 5.7217   36.5739  0.0502  0.037  0.732  0.720 -0.007 0 
SN: 5957 5957 1 120 82S 0.27923 0.00001 0.28030 0.00001 10.4630 7.80000e-02 12.8733 11.2491 8.0682 53666.715 0.391 -1.42672e-01 0.4438 -1.22035e-01 4.30038e-02 21.1751 4.53167e-02 6.08077e-05 2.59171e-06 5.58054e-03 -6.66227e-07 -6.84087e-08 56 40.9816 0.9340 34.760513 -0.272920 7.8503   40.8974  0.1212  0.118  0.972 -0.311 -0.094 0 
SN: 5994 5994 1 120 82N 0.18581 0.00001 0.18700 0.00001 -9 -9 25.8274 19.7162 13.2012 53665.738 0.273 0.7567 0.2674 -6.34299e-02 2.91957e-02 20.2120 3.73404e-02 1.47642e-04 5.16600e-06 1.55879e-03 -7.47817e-07 -1.05052e-07 56 34.4057 0.9923 -47.397552 -0.167951 10.1128   39.8785  0.0802  0.091  1.135  0.616 -0.042 0 
SN: 6057 6057 1 120 82N 0.06651 0.00001 0.06707 0.00001 10.0710 4.90000e-02 83.5120 72.3782 12.6045 53663.625 0.100 -4.19919e-01 0.1088 0.1012 2.44177e-02 18.3732 2.70178e-02 8.03042e-04 2.02339e-05 2.70218e-06 -3.61197e-07 -3.87096e-07 36 49.8938 6.16924e-02 52.553547 -0.974675 5.6448   37.3646  0.0600 -0.028 -0.466 -0.400  0.089 0 
SN: 6108 6108 1 120 82N 0.25800 0.00001 0.25950 0.00001 9.3230 0.1190 14.2214 13.5094 9.5201 53675.148 0.641 0.4563 0.6504 2.96572e-02 4.35798e-02 21.2550 4.22565e-02 5.64958e-05 2.24214e-06 7.83903e-03 -6.88505e-07 -6.10160e-08 30 16.3507 0.9796 1.806569 0.348897 10.3216   40.5908  0.1343  0.003  0.020  0.466  0.029 0 
SN: 6196 6196 1 120 82N 0.27980 0.00001 0.28135 0.00001 11.4060 0.1400 11.2450 10.5938 8.3391 53669.473 0.173 -1.41713e+00 0.5787 -1.88358e-02 4.60518e-02 21.2844 4.59973e-02 5.49855e-05 2.37951e-06 6.50354e-03 -6.81350e-07 -6.68739e-08 49 30.0783 0.9885 -22.368927 -0.502793 5.4722   40.5083  0.1382 -0.281 -2.031 -0.813 -0.084 0 
SN: 6315 6315 1 120 82N 0.26576 0.00001 0.26700 0.00001 9.7200 0.2290 25.2167 17.4715 11.1375 53676.684 0.347 -9.88295e-02 0.3723 -1.98697e-01 3.68520e-02 20.6567 3.43166e-02 9.80191e-05 3.14755e-06 1.66761e-03 -4.46508e-07 -6.48120e-08 35 28.8089 0.7604 -49.517273 1.091907 5.4817   40.6228  0.1117 -0.036 -0.322 -0.034 -0.210 0 
SN: 6422 6422 1 120 82S 0.18500 0.00001 0.18645 0.00001 9.7650 9.30000e-02 45.2244 31.9139 20.4505 53667.996 0.268 0.8119 0.2159 -1.08186e-01 2.30160e-02 20.0030 2.72210e-02 1.78985e-04 4.54413e-06 4.29555e-04 -2.21915e-07 -7.70719e-08 50 39.0230 0.8691 -10.861298 -0.663257 8.3923   39.8159  0.0622  0.036  0.572  0.762 -0.100 0 
SN: 6558 6558 1 118 82S 0.05631 0.00001 0.05739 0.00001 9.7690 6.20000e-02 180.9549 83.5158 35.0184 53675.027 0.092 1.0588 9.14988e-02 -2.47813e-02 2.26382e-02 17.4512 2.54500e-02 1.87721e-03 4.45221e-05 2.87526e-06 -7.15546e-07 -7.69105e-07 25 52.2748 1.10634e-03 21.701651 -1.238144 11.3451   37.0402  0.0557  0.001  0.018  1.061 -0.027 0 
SN: 6924 6924 1 120 82S 0.32640 0.00001 0.32800 0.00001 -9 -9 14.0281 12.1352 8.1399 53674.641 0.131 1.0088 0.7005 -7.20235e-02 4.22071e-02 21.3742 4.43912e-02 5.06203e-05 2.11254e-06 8.28587e-03 -1.06725e-06 -4.10745e-08 47 35.3284 0.8945 -1.030762 0.876854 9.0332   41.1026  0.1502 -0.071 -0.472  1.234 -0.084 0 
SN: 7147 7147 1 120 82N 0.10886 0.00001 0.11022 0.00001 10.5620 6.40000e-02 67.8528 49.3418 30.1418 53679.668 0.133 -1.94403e+00 0.1577 -9.30241e-02 2.27338e-02 19.2019 2.64775e-02 3.74326e-04 9.24077e-06 2.81001e-04 -1.30453e-07 -1.50922e-07 36 41.3315 0.2490 -9.981689 -0.055568 11.7094   38.5820  0.0576  0.047  0.815 -1.981 -0.079 0 
SN: 7243 7243 1 120 82S 0.20323 0.00001 0.20462 0.00001 9.2250 0.1110 23.5728 13.1889 10.0106 53686.262 0.337 0.7122 0.3881 -3.07301e-02 3.91468e-02 20.5117 4.47193e-02 1.12025e-04 4.71041e-06 3.05924e-03 -9.24397e-07 -1.15039e-07 24 8.2638 0.9993 -31.920959 0.471865 10.7561   40.0706  0.1127  0.065  0.578  0.617 -0.016 0 
SN: 7779 7779 1 120 82N+82S 0.37986 0.00001 0.38120 0.00001 11.1740 0.1530 10.5428 10.2582 9.6048 53675.840 0.635 1.4868 0.6675 -1.09843e-01 3.70631e-02 21.6523 4.17169e-02 3.91801e-05 1.53470e-06 8.17508e-03 -6.87876e-07 -1.52683e-08 87 85.7548 0.5176 -49.919830 -0.007232 5.8119   41.5649  0.1391  0.010  0.071  1.476 -0.109 0 
SN: 7847 7847 1 120 82N 0.21160 0.00001 0.21266 0.00001 10.6960 0.1240 18.6819 17.1959 12.2791 53682.020 0.120 0.1310 0.2968 0.1200 2.22708e-02 20.9315 3.28538e-02 7.60993e-05 2.33792e-06 6.67236e-04 -3.11214e-07 -2.81104e-08 36 32.7365 0.6692 32.459854 -0.061846 4.9381   39.9418  0.0760 -0.157 -2.070  0.547  0.090 0 
SN: 8495 8495 1 120 82S 0.21353 0.00001 0.21498 0.00001 11.0340 6.30000e-02 21.2528 15.4739 12.1587 53689.918 0.341 0.7383 0.4583 -2.97304e-02 4.03226e-02 20.5420 5.24009e-02 1.08947e-04 5.38706e-06 6.45984e-03 -1.67741e-06 -1.51859e-07 23 40.7385 1.77913e-02 -24.738983 -0.748200 8.1952   40.1014  0.1110 -0.024 -0.219  0.803 -0.036 0 
SN: 8921 8921 1 120 82N+82S 0.14409 0.00001 0.14539 0.00001 10.2160 5.80000e-02 30.1424 29.3313 18.3762 53693.008 0.190 0.8061 0.2504 -2.00636e-02 2.80477e-02 19.6767 3.59698e-02 2.41714e-04 8.14196e-06 2.98196e-03 -1.21546e-06 -1.81316e-07 35 38.6270 0.3518 -34.998077 -0.008034 6.1081   39.2157  0.0634  0.030  0.474  0.777 -0.013 0 
SN: 9032 9032 1 120 82N 0.25249 0.00001 0.25400 0.00001 9.2520 0.1490 14.4128 11.6092 10.7946 53688.945 0.513 0.8338 0.6195 9.28301e-03 5.08455e-02 21.0706 6.43638e-02 6.69531e-05 4.08906e-06 9.38860e-03 -1.71408e-06 -1.22989e-07 23 11.4063 0.9858 -22.115479 -0.493654 5.5292   40.5224  0.1550 -0.013 -0.082  0.875  0.006 0 
SN: 9457 9457 1 120 82N 0.25672 0.00001 0.25823 0.00001 11.1290 0.1340 11.5937 8.4660 7.9631 53688.848 0.541 -3.39543e-01 0.6020 -2.69298e-02 6.08132e-02 21.1616 7.16931e-02 6.15665e-05 4.20257e-06 1.13314e-02 -1.63758e-06 -1.51687e-07 25 8.7632 0.9989 -24.185730 0.252944 5.5106   40.5615  0.1726 -0.014 -0.084 -0.309 -0.032 0 
SN: 9467 9467 1 120 82N 0.21885 0.00001 0.22027 0.00001 10.9300 7.20000e-02 16.1525 9.8885 7.8667 53688.816 0.351 -1.38541e+00 0.3820 -1.47207e-01 5.59320e-02 20.7988 5.96956e-02 8.59941e-05 4.86049e-06 5.70834e-03 -1.09830e-06 -1.48198e-07 22 13.7849 0.9329 -31.048676 1.180713 7.3722   40.4251  0.1550  0.240  1.549 -1.547 -0.079 0 
SN: 12779 12779 1 120 82N 0.07891 0.00001 0.07995 0.00001 10.7760 8.30000e-02 67.8510 51.6960 36.1777 53971.895 0.958 -6.09663e-01 0.2640 9.42628e-02 2.91373e-02 18.8873 4.35266e-02 5.00110e-04 2.04565e-05 -3.24420e-03 3.04233e-06 -5.04055e-07 28 22.2235 0.8108 -50.528229 1.221038 13.8787   37.8737  0.0754  0.080  1.065 -0.782  0.120 0 
SN: 12781 12781 1 120 82N 0.08282 0.00001 0.08408 0.00001 10.9420 7.80000e-02 67.8524 51.6903 37.4223 53979.270 0.209 -1.81037e+00 0.1833 4.00192e-02 8.50727e-03 19.1204 2.73433e-02 4.03498e-04 1.02908e-05 7.79377e-05 -1.23230e-06 -2.63679e-08 39 42.8811 0.3083 5.406504 -1.010051 13.8402   38.1068  0.0504  0.198  3.924 -2.397  0.051 0 
SN: 12856 12856 1 120 82N 0.17028 0.00001 0.17167 0.00001 10.3520 4.50000e-02 43.4178 36.1744 21.2575 53996.910 0.240 0.8608 0.2046 -8.66623e-02 2.29726e-02 19.8662 2.70771e-02 2.03004e-04 5.12637e-06 2.20053e-04 -2.76350e-07 -8.49320e-08 51 40.4827 0.8545 -27.134583 0.755887 7.6780   39.6193  0.0636  0.038  0.591  0.809 -0.078 0 
SN: 12869 12869 1 120 82N+82S 0.27806 0.00001 0.27953 0.00001 10.4370 9.90000e-02 14.0328 11.0080 9.6162 53978.855 1.292 0.3514 0.9045 -4.95885e-02 4.84038e-02 21.1057 6.22185e-02 6.48203e-05 3.82305e-06 1.40409e-02 -2.20741e-06 -1.04663e-07 84 54.3157 0.9961 -32.600922 0.000987 10.9476   40.6726  0.1731 -0.100 -0.579  0.735 -0.062 0 
SN: 12881 12881 1 120 82N 0.23670 0.00001 0.23811 0.00001 9.6790 0.1130 25.8168 19.7004 12.7132 53980.316 0.589 0.8695 0.5425 2.62811e-02 3.83815e-02 20.8300 4.66364e-02 8.35576e-05 3.66731e-06 4.39167e-03 -1.32274e-06 -8.80597e-08 32 33.2378 0.4067 10.162300 -0.073668 9.6575   40.2342  0.1269 -0.142 -1.116  1.281  0.000 0 
SN: 12883 12883 1 120 82N 0.30569 0.00001 0.30700 0.00001 11.0990 0.1050 11.2252 7.8924 5.9928 53980.188 0.101 -2.03205e+00 0.7827 -6.97347e-02 6.80039e-02 21.3131 8.84158e-02 5.35493e-05 4.54321e-06 1.37886e-02 -2.66729e-06 -1.33654e-07 48 31.5965 0.9675 -47.374176 0.398611 11.4677   40.6087  0.2265 -0.398 -1.759 -1.266 -0.146 0 
SN: 12898 12898 1 120 82N 0.08254 0.00001 0.08358 0.00001 9.9530 4.50000e-02 77.5458 72.3770 41.7466 54002.492 0.082 -5.21005e-02 8.60320e-02 6.72813e-02 2.08616e-02 18.7532 2.60427e-02 5.65858e-04 1.37369e-05 1.55617e-05 -2.39095e-07 -2.30371e-07 50 73.7626 1.60502e-02 26.793016 -0.147077 9.2323   37.9013  0.0490  0.006  0.123 -0.052  0.067 0 
SN: 12927 12927 1 120 82N 0.18891 0.00001 0.18978 0.00001 10.4010 6.00000e-02 31.9101 29.3207 18.6804 53988.855 1.149 9.30593e-02 0.4015 -3.28373e-02 3.56129e-02 20.0561 5.48733e-02 1.70430e-04 8.83494e-06 -2.98675e-03 1.26931e-06 -2.53486e-07 47 35.6962 0.8859 41.786049 0.775059 7.5579   39.5349  0.0940 -0.288 -3.067  0.885 -0.124 0 
SN: 12950 12950 1 120 82N+82S 0.08141 0.00001 0.08273 0.00001 9.7870 4.00000e-02 90.4738 77.5465 72.3787 54000.059 0.069 -3.27946e-01 6.23352e-02 4.29024e-03 1.45846e-02 18.6563 1.81542e-02 6.18716e-04 1.04323e-05 1.58984e-05 -1.08978e-07 -1.21822e-07 97 139.8545 3.54788e-03 -8.332581 -0.840320 7.3779   37.9610  0.0342  0.089  2.607 -0.377  0.036 0 
SN: 12972 12972 1 120 82S 0.25655 0.00001 0.25800 0.00001 9.1770 0.1140 20.8381 13.1860 8.9641 53980.969 0.910 0.1765 0.8180 -8.03457e-02 5.14445e-02 21.0354 6.68877e-02 6.91577e-05 4.39449e-06 2.13433e-02 -2.90376e-06 -1.52664e-07 38 14.2636 0.9998 7.958508 -0.383025 11.9361   40.6731  0.1506  0.099  0.660 -0.124 -0.069 0 
SN: 13005 13005 1 120 82S 0.12622 0.00001 0.12728 0.00001 10.0930 7.60000e-02 36.1738 30.1432 19.7023 53964.637 1.360 -3.15009e-01 0.3204 -1.36410e-02 4.55268e-02 19.6201 0.1167 2.54654e-04 2.88897e-05 3.34277e-03 -4.04402e-06 -1.05814e-06 28 13.4081 0.9940 27.395418 -0.649959 13.3167   38.9822  0.1052  0.110  1.051 -0.515 -0.000 0 
SN: 13038 13038 1 120 82S 0.10264 0.00001 0.10400 0.00001 -9 -9 72.3736 67.8521 32.8801 53988.652 0.140 1.4361 0.1427 -2.00001e-02 4.18070e-03 18.9394 1.99877e-02 4.76688e-04 8.85679e-06 2.34421e-05 -6.96725e-07 -8.60756e-09 49 38.6407 0.8559 -12.173279 0.504510 16.3680   38.5664  0.0357  0.166  4.659  0.888 -0.016 0 
SN: 13044 13044 1 120 82S 0.12455 0.00001 0.12588 0.00001 9.9130 6.20000e-02 60.3120 47.1949 30.1385 54003.180 0.093 -1.48959e-02 0.1295 -6.90409e-02 2.14851e-02 19.3136 2.72105e-02 3.37715e-04 8.57069e-06 4.67055e-04 -3.69895e-07 -1.46555e-07 55 66.6614 0.1347 -27.457306 0.503229 8.8750   38.8895  0.0503  0.044  0.869 -0.046 -0.056 0 
SN: 13136 13136 1 120 82S 0.37046 0.00001 0.37206 0.00001 11.4330 9.30000e-02 8.3099 6.7856 5.0365 53993.973 1.118 0.8068 0.9151 -1.07496e-01 6.26713e-02 22.0406 7.14462e-02 2.74006e-05 1.86373e-06 1.52190e-02 -9.81938e-07 -4.14496e-08 67 50.8224 0.9407 6.140621 -0.279119 10.9439   41.8507  0.2171  0.358  1.647 -0.006 -0.045 0 
SN: 13152 13152 1 120 82S 0.20215 0.00001 0.20355 0.00001 9.3870 9.60000e-02 31.9080 27.8134 19.3489 54001.219 0.202 0.2821 0.2526 1.50036e-02 2.92280e-02 20.3897 3.31031e-02 1.25347e-04 3.88056e-06 9.19566e-04 -3.77057e-07 -8.83786e-08 47 49.4250 0.3766 7.052006 0.117933 6.6535   39.7466  0.0772 -0.246 -3.188  0.678 -0.059 0 
SN: 13254 13254 1 120 82S 0.17990 0.00001 0.18075 0.00001 10.0050 6.20000e-02 18.0555 16.9238 11.3675 53994.203 0.597 0.5363 0.4032 9.28233e-02 3.74750e-02 20.8788 4.48052e-02 7.98870e-05 3.36568e-06 8.09463e-04 -2.11051e-07 -9.24223e-08 56 55.0818 0.5474 42.058598 -0.347114 7.6355   40.0301  0.1053  0.325  3.082 -0.127  0.178 0 
